Cup,season,round,Date,HomeTeam,AwayTeam,competition_type,FTHG,FTAG,FTR,HomeDiv,AwayDiv,Div
CDR,2020,Quarter-Finals,2021-02-02,UD Almería,Sevilla FC,domestic_cup,0,1,A,ESP2,ESP1,DCUP
CDR,2020,Quarter-Finals,2021-02-03,Levante UD,Villarreal CF,domestic_cup,1,0,H,ESP1,ESP1,DCUP
CIT,2020,Semi-Finals 1st Leg,2021-02-03,SSC Napoli,Atalanta BC,domestic_cup,0,0,D,ITA1,ITA1,DCUP
DFB,2020,Round of 16,2021-02-03,VfB Stuttgart,Borussia Mönchengladbach,domestic_cup,1,2,A,DEU1,DEU1,DCUP
DFB,2020,Round of 16,2021-02-03,VfL Wolfsburg,FC Schalke 04,domestic_cup,1,0,H,DEU1,DEU1,DCUP
CDR,2020,Quarter-Finals,2021-02-03,Granada CF,FC Barcelona,domestic_cup,3,5,A,ESP1,ESP1,DCUP
DFB,2020,Round of 16,2021-02-03,RB Leipzig,VfL Bochum,domestic_cup,4,0,H,DEU1,DEU2,DCUP
CDR,2020,Quarter-Finals,2021-02-04,Real Betis Balompié,Athletic Bilbao,domestic_cup,2,5,A,ESP1,ESP1,DCUP
FAC,2020,Fifth Round,2021-02-09,Burnley FC,AFC Bournemouth,domestic_cup,0,2,A,ENG1,ENG2,DCUP
FAC,2020,Fifth Round,2021-02-09,Manchester United,West Ham United,domestic_cup,1,0,H,ENG1,ENG1,DCUP
CIT,2020,Semi-Finals 2nd Leg,2021-02-09,Juventus FC,Inter Milan,domestic_cup,0,0,D,ITA1,ITA1,DCUP
CIT,2020,Semi-Finals 2nd Leg,2021-02-10,Atalanta BC,SSC Napoli,domestic_cup,3,1,H,ITA1,ITA1,DCUP
FAC,2020,Fifth Round,2021-02-10,Everton FC,Tottenham Hotspur,domestic_cup,5,4,H,ENG1,ENG1,DCUP
FAC,2020,Fifth Round,2021-02-10,Leicester City,Brighton & Hove Albion,domestic_cup,1,0,H,ENG1,ENG1,DCUP
FAC,2020,Fifth Round,2021-02-10,Swansea City,Manchester City,domestic_cup,1,3,A,ENG2,ENG1,DCUP
CDR,2020,Semi-Finals 1st Leg,2021-02-10,Sevilla FC,FC Barcelona,domestic_cup,2,0,H,ESP1,ESP1,DCUP
CDR,2020,Semi-Finals 1st Leg,2021-02-11,Athletic Bilbao,Levante UD,domestic_cup,1,1,D,ESP1,ESP1,DCUP
FAC,2020,Fifth Round,2021-02-11,Wolverhampton Wanderers,Southampton FC,domestic_cup,0,2,A,ENG1,ENG1,DCUP
DFB,2020,Quarter-Finals,2021-03-02,Borussia Mönchengladbach,Borussia Dortmund,domestic_cup,0,1,A,DEU1,DEU1,DCUP
DFB,2020,Quarter-Finals,2021-03-03,RB Leipzig,VfL Wolfsburg,domestic_cup,2,0,H,DEU1,DEU1,DCUP
CDR,2020,Semi-Finals 2nd Leg,2021-03-03,FC Barcelona,Sevilla FC,domestic_cup,3,0,H,ESP1,ESP1,DCUP
CDR,2020,Semi-Finals 2nd Leg,2021-03-04,Levante UD,Athletic Bilbao,domestic_cup,1,2,A,ESP1,ESP1,DCUP
FAC,2020,Quarter-Finals,2021-03-20,Everton FC,Manchester City,domestic_cup,0,2,A,ENG1,ENG1,DCUP
FAC,2020,Quarter-Finals,2021-03-20,AFC Bournemouth,Southampton FC,domestic_cup,0,3,A,ENG2,ENG1,DCUP
FAC,2020,Quarter-Finals,2021-03-21,Leicester City,Manchester United,domestic_cup,3,1,H,ENG1,ENG1,DCUP
FAC,2020,Quarter-Finals,2021-03-21,Chelsea FC,Sheffield United,domestic_cup,2,0,H,ENG1,ENG1,DCUP
SFA,2020,Third Round,2021-04-02,Ross County FC,Inverness Caledonian Thistle FC,domestic_cup,1,3,A,SCO1,SCO2,DCUP
SFA,2020,Third Round,2021-04-03,Hamilton Academical FC,St. Mirren FC,domestic_cup,0,3,A,SCO1,SCO1,DCUP
SFA,2020,Third Round,2021-04-03,Dundee FC,St. Johnstone FC,domestic_cup,0,1,A,SCO2,SCO1,DCUP
CDR,2019,Final,2021-04-03,Athletic Bilbao,Real Sociedad,domestic_cup,0,1,A,ESP1,ESP1,DCUP
SFA,2020,Round of 16,2021-04-16,St. Mirren FC,Inverness Caledonian Thistle FC,domestic_cup,2,1,H,SCO1,SCO2,DCUP
